Log file created at: 2014/12/30 15:22:17
Running on machine: ubuntu2
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I1230 15:22:17.608032  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.608039  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.608062  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.608065  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.608067  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.608726  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.608732  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.608736  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.608737  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.608739  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.608836  8867 server_threads.cpp:419] get ClientShutDown from bg 1100
I1230 15:22:17.616081  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.616102  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 4
I1230 15:22:17.616107  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 4
I1230 15:22:17.616111  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616113  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.616122  8867 server.cpp:236] Serializing table 2
I1230 15:22:17.616125  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616128  8867 server.cpp:236] Serializing table 1
I1230 15:22:17.616132  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616133  8867 server.cpp:236] Serializing table 0
I1230 15:22:17.616137  8867 server_table.hpp:83] tmp_row_buff_size_ = 512
I1230 15:22:17.616154  8867 serialized_oplog_reader.hpp:57] SerializedOpLogReader Restart(), num_tables_left = 3
I1230 15:22:17.616158  8867 serialized_oplog_reader.hpp:119] current_table_id = 0 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616160  8867 serialized_oplog_reader.hpp:119] current_table_id = 1 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616163  8867 serialized_oplog_reader.hpp:119] current_table_id = 2 update_size = 4 rows_left_in_current_table_ = 0
I1230 15:22:17.616165  8867 server.cpp:202] Read and Apply Update Done
I1230 15:22:17.616168  8867 server.cpp:236] Serializing table 2
